Rank,Name,Team,Position,Season,Week,Opponent,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGame,FantasyPoints
1,StephenGostkowski,NE,K,2017,2,NO,2,2.1,100,0,3.7,3.7,9.7,9.7
2,JustinTucker,BAL,K,2017,2,CLE,2.3,2.4,100,0,2.7,2.7,9.6,9.6
3,MasonCrosby,GB,K,2017,2,ATL,1.9,2,100,0,2.9,2.9,8.6,8.6
4,BlairWalsh,SEA,K,2017,2,SF,1.9,2.1,100,0,2.8,2.8,8.5,8.5
5,GrahamGano,CAR,K,2017,2,BUF,2,2.1,100,0,2.3,2.3,8.3,8.3
5,MattBryant,ATL,K,2017,2,GB,1.7,1.8,100,0,3.2,3.2,8.3,8.3
7,BrandonMcManus,DEN,K,2017,2,DAL,1.9,2,100,0,2,2,7.7,7.7
8,GiorgioTavecchio,OAK,K,2017,2,NYJ,1.6,1.8,100,0,2.8,2.8,7.6,7.6
8,MattPrater,DET,K,2017,2,NYG,1.9,1.9,100,0,1.9,1.9,7.6,7.6
10,YounghoeKoo,LAC,K,2017,2,MIA,1.5,1.6,100,0,2.8,2.8,7.3,7.3
11,AdamVinatieri,IND,K,2017,2,ARI,1.8,1.8,100,0,1.8,1.8,7.2,7.2
11,NickFolk,TB,K,2017,2,CHI,1.6,1.8,100,0,2.4,2.4,7.2,7.2
11,AldrickRosas,NYG,K,2017,2,DET,1.7,1.8,100,0,2.1,2.1,7.2,7.2
14,JasonMyers,JAX,K,2017,2,TEN,1.7,1.9,100,0,2,2,7.1,7.1
15,PhilDawson,ARI,K,2017,2,IND,1.5,1.6,100,0,2.5,2.5,7,7
16,RyanSuccopP,TEN,K,2017,2,JAX,1.5,1.6,100,0,2.4,2.4,6.9,6.9
16,DustinHopkins,WAS,K,2017,2,LAR,1.4,1.5,50,0,2.7,2.7,6.9,6.9
18,KaiForbath,MIN,K,2017,2,PIT,1.6,1.7,100,0,1.9,1.9,6.7,6.7
19,ChrisBoswell,PIT,K,2017,2,MIN,1.4,1.5,50,0,2.3,2.3,6.5,6.5
20,RandyBullock,CIN,K,2017,2,HOU,1.5,1.6,100,0,1.9,1.9,6.4,6.4
21,CairoSantos,KC,K,2017,2,PHI,1.3,1.5,50,0,2.4,2.4,6.3,6.3
22,GregZuerlein,LAR,K,2017,2,WAS,1.3,1.4,100,0,2.3,2.3,6.2,6.2
23,WilLutz,NO,K,2017,2,NE,1.1,1.2,100,0,2.8,2.8,6.1,6.1
24,DanBailey,DAL,K,2017,2,DEN,1.3,1.5,50,0,2.1,2.1,6,6
25,CodyParkey,MIA,K,2017,2,LAC,1.2,1.3,100,0,2.1,2.1,5.7,5.7
26,Ka'imiFairbairn,HOU,K,2017,2,CIN,1.2,1.3,100,0,1.8,1.8,5.4,5.4
27,StevenHauschka,BUF,K,2017,2,CAR,1.1,1.2,100,0,1.9,1.9,5.2,5.2
28,JakeElliott,PHI,K,2017,2,KC,1,1.1,100,0,1.8,1.8,4.8,4.8
29,ConnorBarth,CHI,K,2017,2,TB,0.9,1,100,0,2,2,4.7,4.7
30,ZaneGonzalez,CLE,K,2017,2,BAL,1.1,1.2,100,0,1.2,1.2,4.5,4.5
31,ChandlerCatanzaro,NYJ,K,2017,2,OAK,0.9,1.1,100,0,1.7,1.7,4.4,4.4
32,RobbieGould,SF,K,2017,2,SEA,0.9,1,100,0,1.3,1.3,4,4
33,HarrisonButker,CAR,K,2017,2,BUF,0,0,0,0,0,0,0,0
33,CalebSturgis,PHI,K,2017,2,KC,0,0,0,0,0,0,0,0
33,SebastianJanikowski,OAK,K,2017,2,NYJ,0,0,0,0,0,0,0,0
