ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2010,2010-10-04,4,23.360,MIA,,NWE,L 14-41,,,,,,,0.0%,,,,
2,2010,2010-10-17,5,24.008,MIA,@,GNB,W 23-20,,,,,,,0.0%,,,,
3,2010,2010-10-24,6,24.015,MIA,,PIT,L 22-23,,,,,,,0.0%,,,,
4,2010,2010-11-18,10,24.040,MIA,,CHI,L 0-16,,,,,,,0.0%,,,,
5,2010,2010-12-26,15,24.078,MIA,,DET,L 27-34,*,4,2,44,22.00,0,50.0%,11.00,0.0,1,0
6,2010,2011-01-02,16,24.085,MIA,@,NWE,L 7-38,*,1,,,,,0.0%,,,,
7,2014,2014-09-07,1,27.333,JAX,@,PHI,L 17-34,,1,0,0,,0,0.0%,0.00,0.0,0,0
8,2014,2014-09-14,2,27.340,JAX,@,WAS,L 10-41,,1,0,0,,0,0.0%,0.00,0.0,0,0
9,2014,2014-09-21,3,27.347,JAX,,IND,L 17-44,*,1,0,0,,0,0.0%,0.00,0.0,0,0
10,2015,2015-10-04,4,28.360,ATL,,HOU,W 48-21,,0,0,0,,0,0.0%,,0.0,0,0
