ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-10-01,4,23.000,NYG,@,TAM,L 23-25,,11,42,3.82,0,2,2,8,4.00,1,100.0%,4.00,1,6
2,2017,2017-10-08,5,23.007,NYG,,LAC,L 22-27,,11,57,5.18,0,5,5,25,5.00,0,100.0%,5.00,0,0
3,2017,2017-10-15,6,23.014,NYG,@,DEN,W 23-10,,9,27,3.00,0,3,2,5,2.50,0,66.7%,1.67,0,0
4,2017,2017-10-22,7,23.021,NYG,,SEA,L 7-24,,5,15,3.00,0,3,2,14,7.00,0,66.7%,4.67,0,0
5,2017,2017-11-05,8,23.035,NYG,,LAR,L 17-51,,9,41,4.56,0,1,0,0,,0,0.0%,0.00,0,0
6,2017,2017-11-12,9,23.042,NYG,@,SFO,L 21-31,,3,22,7.33,0,1,0,0,,0,0.0%,0.00,0,0
7,2017,2017-11-19,10,23.049,NYG,,KAN,W 12-9,,6,19,3.17,0,4,1,3,3.00,0,25.0%,0.75,0,0
8,2017,2017-11-23,11,23.053,NYG,@,WAS,L 10-20,,9,37,4.11,0,2,2,6,3.00,0,100.0%,3.00,0,0
9,2017,2017-12-03,12,23.063,NYG,@,OAK,L 17-24,,3,11,3.67,0,1,1,8,8.00,0,100.0%,8.00,0,0
10,2017,2017-12-10,13,23.070,NYG,,DAL,L 10-30,,12,59,4.92,0,9,7,40,5.71,0,77.8%,4.44,0,0
11,2017,2017-12-17,14,23.077,NYG,,PHI,L 29-34,,8,39,4.88,0,7,6,40,6.67,0,85.7%,5.71,0,0
12,2017,2017-12-24,15,23.084,NYG,@,ARI,L 0-23,*,10,18,1.80,0,8,6,44,7.33,0,75.0%,5.50,0,0
13,2017,2017-12-31,16,23.091,NYG,,WAS,W 18-10,,15,89,5.93,0,2,0,0,,0,0.0%,0.00,0,0
14,2018,2018-09-09,1,23.343,NYG,,JAX,L 15-20,,1,-1,-1.00,0,2,2,9,4.50,0,100.0%,4.50,0,0
15,2018,2018-09-16,2,23.350,NYG,@,DAL,L 13-20,,1,2,2.00,0,1,1,11,11.00,0,100.0%,11.00,0,0
16,2018,2018-09-23,3,23.357,NYG,@,HOU,W 27-22,,6,25,4.17,0,1,0,0,,0,0.0%,0.00,0,0
